Date,Close_x,Averageclose_x,Averagevolume_x,Close_y,Averageclose_y,Averagevolume_y
2016-01-01,434.33,,,0.948024,,
2016-01-02,433.44,,,0.937124,,
2016-01-03,430.01,,,0.971905,,
2016-01-04,433.09,,,0.95448,,
2016-01-05,431.96,432.566,35801880.0,0.950176,0.9523417999999999,287055.2
2016-01-06,429.11,431.52200000000005,35354600.0,0.95086,0.952909,307601.0
2016-01-07,458.05,436.4440000000001,46847720.0,0.942005,0.9538852,385992.6
2016-01-08,453.23,441.0880000000001,50319560.0,0.986789,0.9568619999999999,413586.2
2016-01-09,447.61,443.9920000000001,49079660.0,0.986833,0.9633325999999999,389593.4
2016-01-10,447.99,447.19800000000015,49374320.0,0.999231,0.9731435999999999,423804.4
2016-01-11,448.43,451.06200000000007,50655820.0,1.06,0.9949715999999998,564430.2
2016-01-12,435.69,446.59000000000003,56264780.0,1.14,1.0345706,1014689.8
2016-01-13,432.37,442.418,79643780.0,1.13,1.0632127999999998,1106751.8
2016-01-14,430.31,438.95799999999997,81977280.0,1.19,1.1038461999999998,1211887.8
2016-01-15,364.33,422.226,105448300.0,1.21,1.1459999999999997,1915820.2
2016-01-16,387.54,410.04800000000006,121428700.0,1.22,1.1779999999999997,2205962.2
2016-01-17,382.3,399.37000000000006,107371220.0,1.33,1.2159999999999997,1860440.2
2016-01-18,387.17,390.3300000000001,83474400.0,1.43,1.2759999999999998,2515044.2
2016-01-19,380.15,380.2980000000001,84049260.0,1.37,1.3119999999999998,2854000.0
2016-01-20,420.23,391.4780000000002,77723060.0,1.53,1.3759999999999997,2658534.0
2016-01-21,410.26,396.0220000000001,67320260.0,1.55,1.4419999999999997,2489000.0
2016-01-22,382.49,396.06000000000006,76565660.0,1.5,1.4759999999999995,2568218.0
2016-01-23,387.49,396.1240000000001,76934360.0,1.97,1.5839999999999996,3186628.0
2016-01-24,402.97,400.688,78535360.0,2.14,1.7379999999999995,4631234.0
2016-01-25,391.73,394.988,66003840.0,2.5,1.9319999999999997,6192450.0
2016-01-26,392.15,391.36600000000004,63965640.0,2.28,2.0779999999999994,8657298.0
2016-01-27,394.97,393.862,55141200.0,2.39,2.2559999999999993,9736066.0
2016-01-28,380.29,392.4220000000001,55741300.0,2.53,2.3679999999999994,9242640.0
2016-01-29,379.47,387.7220000000001,62001400.0,2.49,2.4379999999999993,8641154.0
2016-01-30,378.25,385.0260000000001,56245800.0,2.45,2.4279999999999995,7238310.0
2016-01-31,368.77,380.3500000000001,52195260.0,2.31,2.4339999999999997,5619970.0
2016-02-01,373.06,375.9680000000001,53041720.0,2.21,2.3979999999999997,5026574.0
2016-02-02,374.45,374.80000000000007,49267880.0,2.44,2.38,4736058.0
2016-02-03,369.95,372.8960000000001,41229500.0,2.53,2.3879999999999995,4201140.0
2016-02-04,389.59,375.16400000000004,49029720.0,2.58,2.4139999999999993,4166588.0
2016-02-05,386.55,378.7200000000001,50215860.0,2.54,2.459999999999999,3524428.0
2016-02-06,376.52,379.4120000000001,49734380.0,2.53,2.5239999999999987,3109856.0
2016-02-07,376.62,379.84600000000006,49073900.0,2.96,2.6279999999999992,3821014.0
2016-02-08,373.45,380.54600000000005,49421440.0,3.18,2.7579999999999996,4968602.0
2016-02-09,376.03,377.83400000000006,46628040.0,4.04,3.05,7848938.0
2016-02-10,381.65,376.85400000000004,54889220.0,4.44,3.4299999999999997,13049678.0
2016-02-11,379.65,377.48,59914480.0,6.01,4.1259999999999994,17947070.0
2016-02-12,384.26,379.008,65907780.0,5.55,4.643999999999999,21217818.0
2016-02-13,391.86,382.69,68755900.0,5.39,5.085999999999999,24116440.0
2016-02-14,407.23,388.93000000000006,72586160.0,5.24,5.325999999999999,22770940.0
2016-02-15,400.19,392.63800000000003,70374080.0,5.29,5.495999999999999,19829700.0
2016-02-16,407.49,398.206,70117580.0,4.32,5.157999999999999,17725880.0
2016-02-17,416.32,404.61800000000005,73347740.0,3.76,4.799999999999998,16143920.0
2016-02-18,422.37,410.7200000000001,76315920.0,4.4,4.6019999999999985,14710960.0
2016-02-19,420.79,413.4320000000001,72564220.0,4.74,4.501999999999998,13998924.0
2016-02-20,437.16,420.826,76548540.0,4.34,4.3119999999999985,12938302.0
2016-02-21,438.8,427.0880000000001,79894060.0,4.65,4.377999999999998,11043192.0
2016-02-22,437.75,431.3740000000001,80332380.0,5.62,4.749999999999998,10964232.0
2016-02-23,420.74,431.0480000000001,82030840.0,5.59,4.987999999999998,10229552.0
2016-02-24,424.95,431.8800000000001,84437320.0,6.24,5.2879999999999985,10981588.0
2016-02-25,424.54,429.3560000000001,79798500.0,6.1,5.639999999999999,13549730.0
2016-02-26,432.15,428.0260000000001,74131560.0,5.92,5.893999999999998,14172392.0
2016-02-27,432.52,426.98000000000013,65433240.0,6.43,6.055999999999998,12941794.0
2016-02-28,433.5,429.53200000000015,58990940.0,6.47,6.231999999999998,12236006.0
2016-02-29,437.7,432.08200000000016,57581140.0,6.34,6.251999999999998,11480310.0
2016-03-01,435.12,434.19800000000015,58400700.0,7.65,6.561999999999998,11805570.0
2016-03-02,423.99,432.5660000000001,61094560.0,8.47,7.071999999999997,15726238.0
2016-03-03,421.65,430.3920000000001,72812640.0,9.29,7.643999999999997,22008576.0
2016-03-04,410.94,425.8800000000001,80377180.0,10.41,8.431999999999997,27142264.0
2016-03-05,400.57,418.4540000000002,95315240.0,11.0,9.363999999999995,36900580.0
2016-03-06,407.71,412.9720000000002,98578580.0,11.38,10.109999999999996,40103360.0
2016-03-07,414.32,411.0380000000003,100740000.0,9.55,10.325999999999997,41094340.0
2016-03-08,413.97,409.5020000000003,94705540.0,9.85,10.437999999999997,38136220.0
2016-03-09,414.86,410.28600000000034,90536780.0,11.9,10.735999999999999,36540300.0
2016-03-10,417.13,413.5980000000003,79664360.0,11.3,10.795999999999998,30622680.0
2016-03-11,421.69,416.39400000000035,76215800.0,11.08,10.735999999999997,27000820.0
2016-03-12,411.62,415.85400000000027,77605900.0,13.53,11.531999999999996,29975260.0
2016-03-13,414.06,415.8720000000003,78408120.0,14.47,12.455999999999996,33653420.0
2016-03-14,416.44,416.1880000000003,83457540.0,12.45,12.565999999999995,39822340.0
2016-03-15,416.83,416.12800000000027,80609300.0,13.01,12.907999999999996,40132940.0
2016-03-16,417.01,415.1920000000003,78852520.0,12.52,13.195999999999994,40799500.0
