,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE,VOLUME,inputClose,Averageclose,Averagevolume
2013-01-29,145.1072,171793010000.0,145.1072,145.06565999999998,80347540000.0,2675.866,10104022900.0,2675.866,2617.9227999999994,8756379880.0,3482.519,4928037500.0,3482.519,3421.5701999999997,4646680500.0,2807.705,15032060500.0,2807.705,2749.5480000000002,13403060400.0,1982.623,4198398900.0,1982.623,1927.3565999999992,3577526980.0,791.671,981911725.0,791.671,775.1251999999998,914729095.4,906.27,33080.66,906.27,905.1480000000004,36197.7,2321.48,21250.18,2321.48,2318.1580000000004,30801.183999999997,1512.98,20999.88,1512.98,1500.2620000000002,22911.48399999999,918.9,1651.3,918.9,925.6379999999999,1546.6,1547.7154,280.24,1547.7154,1555.7764400000005,286.95199999999994
2013-01-30,145.1095,210033410000.0,145.1095,145.08418,79252584000.0,2688.711,9987499000.0,2688.711,2634.1737999999996,9239090800.0,3500.578,5421893000.0,3500.578,3433.3368,4863911640.0,2821.429,15409392000.0,2821.429,2764.8862000000004,14103002460.0,1989.315,4025677200.0,1989.315,1943.1925999999992,3808488820.0,783.682,957274143.0,783.682,776.1659999999998,922759372.0,911.34,50394.76,911.34,905.7620000000003,39142.17999999999,2340.65,29754.58,2340.65,2322.704,30744.816000000003,1518.95,18090.64,1518.95,1503.7280000000005,22557.98399999999,921.1,1300.56,921.1,922.074,1574.8799999999999,1549.6782,230.34,1549.6782,1550.9288600000004,292.07199999999995
2013-01-31,145.1421,1934030000.0,145.1421,145.10786000000002,79360064000.0,2686.882,9674010100.0,2686.882,2654.9991999999993,8948349380.0,3479.638,4859125200.0,3479.638,3455.318,4692237280.0,2816.12,14533135200.0,2816.12,2785.8024000000005,13640586660.0,1993.252,3791741800.0,1993.252,1961.8077999999994,3639586840.0,776.005,912401149.0,776.005,779.7931999999998,882056667.6,915.77,43451.6,915.77,908.2840000000003,39048.73999999999,2356.04,21290.62,2356.04,2332.0340000000006,26783.688000000002,1524.0,19450.84,1524.0,1510.3600000000006,20118.31599999999,932.98,1493.44,932.98,922.926,1468.648,1557.8944,260.5,1557.8944,1550.5363000000002,267.3639999999999
2013-02-01,145.185,25181930000.0,145.185,145.13116000000002,83945488000.0,2743.324,10387951500.0,2743.324,2689.329199999999,9856192500.0,3507.709,4792548700.0,3507.709,3484.0475999999994,4908763300.0,2867.056,15180500200.0,2867.056,2818.9116000000004,14764955800.0,2055.724,4393958000.0,2055.724,1995.6617999999994,4082193960.0,782.363,844291907.0,782.363,783.6961999999997,905754985.0,917.04,49601.98,917.04,910.8440000000004,42592.53199999999,2356.05,26838.62,2356.05,2338.2740000000003,24242.532,1530.02,19970.82,1530.02,1517.4360000000006,19631.951999999994,921.43,1644.18,921.43,922.316,1490.048,1545.8896,247.08,1545.8896,1549.2308400000002,259.9599999999999
2013-02-04,145.2896,2202450000.0,145.2896,145.16668,82228966000.0,2748.028,12793917900.0,2748.028,2708.5621999999994,10589480280.0,3484.362,5593744600.0,3484.362,3490.9611999999993,5119069800.0,2866.614,18387662500.0,2866.614,2835.7848000000004,15708550080.0,2065.394,5508981800.0,2065.394,2017.2615999999994,4383751540.0,771.902,915898439.0,771.902,781.1245999999998,922355472.6,916.64,39878.5,916.64,913.4120000000005,43281.49999999999,2371.53,23728.66,2371.53,2349.1500000000005,24572.532,1548.45,25787.68,1548.45,1526.8800000000006,20859.971999999994,927.12,1783.4,927.12,924.3059999999999,1574.5759999999998,1552.6451,319.24,1552.6451,1550.7645400000001,267.4799999999999
2013-02-05,145.3721,2180080000.0,145.3721,145.21966,48306380000.0,2771.675,11613081900.0,2771.675,2727.7239999999993,10891292080.0,3520.646,4771113300.0,3520.646,3498.5865999999996,5087684960.0,2892.431,16384195200.0,2892.431,2852.7300000000005,15978977020.0,2068.952,5045680200.0,2068.952,2034.5273999999997,4553207800.0,780.981,739433268.0,780.981,778.9865999999996,873859781.2,913.48,40391.82,913.48,914.8540000000005,44743.731999999996,2349.0,33568.58,2349.0,2354.6540000000005,27036.212,1544.49,24079.4,1544.49,1533.1820000000007,21475.875999999997,930.11,1479.18,930.11,926.548,1540.1519999999998,1560.405,262.68,1560.405,1553.3024600000003,263.96799999999996
2013-02-06,145.3347,1890660000.0,145.3347,145.2647,6677830000.0,2775.844,8277927100.0,2775.844,2745.1505999999995,10549377700.0,3544.385,4230870500.0,3544.385,3507.3479999999995,4849480460.0,2900.147,12508797600.0,2900.147,2868.4736000000003,15398858140.0,2078.494,3520212600.0,2078.494,2052.3632,4452114880.0,791.263,717763079.0,791.263,780.5027999999996,825957568.4,912.81,31740.52,912.81,915.1480000000004,41012.88399999999,2343.42,27596.56,2343.42,2355.2080000000005,26604.607999999997,1539.81,22868.8,1539.81,1537.3540000000007,22431.507999999994,927.24,1156.52,927.24,927.7759999999998,1511.3439999999998,1555.749,249.4,1555.749,1554.5166200000003,267.78
2013-02-07,145.4531,11926580000.0,145.4531,145.32689999999997,8676340000.0,2759.87,8997814200.0,2759.87,2759.748199999999,10414138520.0,3557.667,3870483400.0,3557.667,3522.9538000000002,4651752100.0,2889.603,12868297600.0,2889.603,2883.1702000000005,15065890620.0,2048.575,4349646400.0,2048.575,2063.4278,4563695800.0,805.586,715399743.0,805.586,786.4189999999996,786557287.2,905.75,25681.5,905.75,913.1440000000002,37458.86399999999,2338.08,24825.92,2338.08,2351.6160000000004,27311.667999999994,1535.85,21624.5,1535.85,1539.7240000000006,22866.239999999998,928.76,1299.46,928.76,926.932,1472.548,1559.8573,209.1,1559.8573,1554.9092000000003,257.49999999999994
2013-02-08,145.5198,1204530000.0,145.5198,145.39386,3880860000.0,2771.725,7742964400.0,2771.725,2765.4283999999993,9885141100.0,3608.589,3792830300.0,3608.589,3543.1298,4451808420.0,2908.519,11535794800.0,2908.519,2891.4628000000002,14336949540.0,2042.422,3442460800.0,2042.422,2060.7673999999997,4373396360.0,823.028,851324827.0,823.028,794.5519999999997,787963871.2,905.88,22490.52,905.88,910.9120000000003,32036.571999999986,2341.4,18025.1,2341.4,2348.686,25548.963999999996,1532.65,13316.2,1532.65,1540.2500000000005,21535.316,924.21,1184.12,924.21,927.4879999999999,1380.536,1556.9358,182.9,1556.9358,1557.1184400000002,244.664
2013-02-18,145.6952,200319000000.0,145.6952,145.47498000000002,43504170000.0,2737.471,7643822700.0,2737.471,2763.3169999999996,8855122060.0,3627.776,4509927800.0,3627.776,3571.8126,4235045060.0,2884.216,12153750400.0,2884.216,2894.9832000000006,13090167120.0,2014.577,3295871900.0,2014.577,2050.604,3930774380.0,835.277,1049658801.0,835.277,807.2269999999996,814715943.6,901.29,25234.84,901.29,907.8420000000002,29107.839999999986,2315.43,24758.92,2315.43,2337.466,25755.015999999996,1512.75,13958.82,1512.75,1533.1100000000004,19169.544,888.67,1834.0,888.67,919.798,1390.6560000000002,1505.2191,438.52,1505.2191,1547.6332400000003,268.52
